LocationName,TotalPop18plus,TotalPopulation,Geolocation,Binge drinking among adults,Cancer (non-skin) or melanoma among adults,Colorectal cancer screening among adults aged 45–75 years,Current cigarette smoking among adults,Current lack of health insurance among adults aged 18-64 years,Depression among adults,Mammography use among women aged 50-74 years,No leisure-time physical activity among adults,Obesity among adults,Short sleep duration among adults,Stroke among adults,Visited dentist or dental clinic in the past year among adults,Visits to doctor for routine checkup within the past year among adults
77489,28348,37257,POINT (-95.5155369 29.6004979),13.2,5.2,63.4,15.9,18.5,18.5,78.8,29.6,44.7,44.7,4.4,52.2,78.9
77493,36734,51774,POINT (-95.831457 29.8532173),18.4,5.7,57.5,12.2,19.0,20.8,72.4,22.3,33.3,38.3,2.6,58.9,72.0
77494,88170,130872,POINT (-95.8155361 29.744657),17.0,5.7,56.4,9.3,11.4,18.7,77.1,18.3,30.8,35.2,2.1,67.1,74.3
80864,1141,1495,POINT (-104.1875525 38.6990058),14.8,8.9,62.8,19.6,11.0,26.7,63.1,23.7,30.9,36.7,4.0,56.6,69.9
77498,39263,51472,POINT (-95.6558192 29.6409811),14.0,5.6,57.6,11.7,15.6,17.6,75.2,24.6,31.7,37.9,2.9,59.3,75.6
77502,26561,37495,POINT (-95.1995906 29.6798536),16.0,5.0,46.4,18.1,42.7,22.1,65.0,37.7,38.9,41.4,4.0,40.6,69.0
81129,63,78,POINT (-106.0216578 37.1049546),15.9,7.9,61.1,15.1,21.4,21.2,67.6,26.8,31.2,32.2,4.5,55.2,70.3
77503,18085,24956,POINT (-95.157031 29.6905957),17.0,5.6,51.8,15.8,35.4,21.4,67.7,31.6,36.3,39.6,3.6,48.1,70.1
77504,18742,25728,POINT (-95.1897803 29.6479156),16.5,5.9,53.9,15.3,32.9,21.1,68.5,31.3,36.0,39.9,3.6,48.5,71.1
81140,1596,2154,POINT (-106.1613653 37.2991153),15.6,9.0,61.5,13.5,15.7,21.7,68.1,24.2,29.4,31.4,4.4,58.0,71.6
77505,18190,23584,POINT (-95.1414988 29.6483375),18.2,7.0,60.1,12.1,21.2,20.6,71.8,22.9,31.5,36.6,2.9,60.2,72.3
81425,3927,5120,POINT (-108.118672 38.4582924),18.2,8.8,61.7,14.8,16.0,22.9,70.4,22.2,33.6,30.9,3.7,59.8,69.0
77506,24115,34431,POINT (-95.1911261 29.7183868),16.0,4.3,44.8,18.5,46.1,22.0,64.9,39.1,39.9,42.0,4.0,38.2,68.3
77507,710,770,POINT (-95.0634646 29.6243709),21.4,3.7,56.5,14.9,22.6,24.3,69.9,23.6,32.4,39.6,2.1,51.5,66.5
77510,11149,14357,POINT (-95.0916179 29.3488713),18.1,9.2,63.8,15.5,15.0,24.8,72.4,24.6,39.4,35.4,3.6,61.2,72.9
77511,38392,51093,POINT (-95.2451935 29.3807632),18.5,7.5,58.5,16.4,22.4,24.3,69.3,29.6,42.8,42.3,3.6,53.0,71.8
77514,3749,4926,POINT (-94.6259022 29.6880456),15.8,8.1,56.8,20.8,24.0,24.5,68.5,33.5,42.2,41.4,4.9,47.5,74.4
77515,24728,32710,POINT (-95.4515451 29.1734391),19.1,7.3,60.6,14.8,20.3,22.6,71.4,27.1,42.4,42.8,3.3,56.2,72.4
83313,2875,3815,POINT (-114.1992 43.3483556),16.1,8.8,65.3,11.8,10.9,21.0,74.3,21.2,27.3,28.8,3.2,69.4,73.5
77517,4673,6058,POINT (-95.1408102 29.3595257),17.9,8.4,60.9,18.6,17.2,26.0,70.9,28.0,41.6,37.3,3.8,55.8,71.8
77518,7124,9689,POINT (-94.986711 29.5051825),16.5,6.4,52.3,22.2,28.2,26.5,66.9,35.6,46.8,41.2,4.3,44.1,70.3
77519,679,882,POINT (-94.5750585 30.2183232),16.2,8.7,58.4,25.5,18.3,28.1,66.2,34.9,41.3,42.3,4.9,45.2,73.7
77520,28093,38587,POINT (-95.0008472 29.7367157),16.0,5.8,52.1,17.9,33.2,22.0,67.8,33.5,38.0,41.7,4.2,45.0,71.3
77521,46931,65058,POINT (-94.9627399 29.8118713),17.4,5.5,55.2,15.7,26.3,21.5,70.9,28.3,35.9,41.1,3.4,50.7,71.2
77523,19385,27638,POINT (-94.8657594 29.7663032),20.7,6.7,59.5,13.8,15.6,23.9,73.8,21.8,36.9,38.0,2.7,61.2,72.1
77530,24427,35319,POINT (-95.1139874 29.7893557),16.5,4.6,48.2,18.1,38.9,21.8,65.3,35.0,38.6,42.1,3.7,42.5,69.1
77531,11474,15666,POINT (-95.4019373 29.0388553),19.3,6.1,58.6,15.6,24.0,23.4,70.2,29.8,43.0,43.6,3.1,51.9,70.3
77532,25146,34679,POINT (-95.057219 29.932894),18.5,6.9,60.7,14.0,19.5,21.6,72.4,23.2,33.7,38.5,3.2,58.5,72.6
77533,683,980,POINT (-94.5995566 30.0871719),17.7,8.2,58.8,22.1,16.8,28.0,68.3,30.1,38.0,37.9,4.2,49.7,72.6
77534,2180,2998,POINT (-95.3111931 29.2151626),19.6,8.1,60.0,16.2,17.7,24.9,70.6,26.8,41.1,41.6,3.3,56.5,71.8
77535,27815,36494,POINT (-94.9223165 30.0548442),18.7,6.9,57.7,18.7,21.8,25.6,71.3,29.0,38.2,38.6,3.5,52.0,72.1
77536,25181,33693,POINT (-95.1165308 29.691659),18.3,7.7,60.8,13.4,20.1,21.8,71.2,22.9,32.3,36.7,3.1,59.6,72.3
77538,600,809,POINT (-94.5229423 29.9741671),15.4,9.5,55.0,21.4,23.5,25.9,68.8,34.8,39.6,38.3,5.6,47.1,75.4
77539,35845,48183,POINT (-95.0284698 29.4529973),18.3,6.6,59.7,16.6,20.1,24.2,72.8,27.3,41.6,38.6,3.3,55.6,70.7
77541,12356,16441,POINT (-95.3257082 29.0161138),16.8,7.0,55.3,19.1,28.3,23.8,67.8,36.0,46.7,45.2,4.3,45.7,72.1
77545,18661,26563,POINT (-95.4730425 29.5373228),16.2,4.0,56.7,13.7,19.5,18.8,80.0,25.4,42.0,42.9,2.8,56.8,75.6
77546,40798,54670,POINT (-95.1930083 29.5111324),18.1,8.2,64.0,11.6,12.5,21.3,76.2,20.6,32.8,34.9,2.9,65.6,73.3
77547,6740,9627,POINT (-95.2391142 29.7401228),15.6,4.7,46.6,17.5,44.3,21.0,63.9,38.3,40.6,42.5,4.4,39.8,70.4
77550,19936,24247,POINT (-94.7693339 29.3078526),15.5,7.4,60.7,17.4,20.9,23.4,72.7,31.2,43.8,39.5,4.5,51.5,73.6
77551,18340,22677,POINT (-94.833527 29.2794618),15.9,7.8,62.2,16.9,20.9,23.1,73.3,30.5,43.4,38.7,4.4,53.1,73.6
77554,8043,8961,POINT (-94.9244886 29.2350099),16.4,10.5,70.6,13.1,12.5,23.3,75.3,23.2,37.0,33.4,3.5,64.2,75.1
77560,745,960,POINT (-94.5874444 29.8668631),16.3,7.6,60.5,18.2,17.2,22.1,75.7,29.1,42.3,42.3,4.3,52.5,75.7
